"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","incomequartile","orig.id","whichway"
"163","Iowa","IA","Cass County, Iowa",67.3990078,27.58327427,0.737065911,2.919914954,8.9,91.1,14.5,3.5,72.05,23159.97175,26.6,8,13905,64.2,14.55,22.85,97.05,0.3,1.6,0.15,0.15,0.65,44.6,1.5,3,0.07,38.3,0.275,0.154,0.354,0.086,289.5,NA,0.113,0.053,139.04,NA,84.5,NA,"Q2","163","Republican"
"1638","West Virginia","WV","Clay County, West Virginia",77.38336714,19.13455037,0.811359026,2.028397566,27,73,8.3,4.2,75.55,25630.08064,39.1,17.6,9723,56.1,24.45,29.9,98.05,0.3,0.2,0.05,0.1,1.35,41.3,5.6,4.1,0.09,67,0.199,0.222,0.383,0.146,85.5,NA,0.191,0.123,NA,NA,100.2,NA,"Q3","1638","Republican"
"475","Texas","TX","Stephens County, Texas",87.83666377,10.07819288,0.20272227,1.882421083,17.8,82.2,12.2,3.4,66.2,20418.99556,29.1,9.45,9552,47.9,20.35,34,76.15,2.6,19.55,0.7,0.65,0.3,39.8,NA,NA,0.07,73.1,0.306,NA,0.293,0.108,136.2,161.8,0.291,0.057,117.03,NA,89.9,NA,"Q1","475","Republican"
"2454","Indiana","IN","Randolph County, Indiana",71.87260903,23.39326702,NA,4.734123948,15.3,84.7,10.4,4.4,76.9,24557.40699,23.85,9,26042,22.2,12.75,18.7,95.55,0.3,2.5,0.15,0.2,1.3,40.2,5,3.6,0.09,45.8,0.35,0.235,0.348,0.13,390.7,49.3,0.176,0.097,45.57,NA,56.3,NA,"Q2","2454","Republican"
"2122","Kentucky","KY","Adair County, Kentucky",80.63418783,16.07338112,0.425221723,1.713036083,31.3,68.7,14.4,7.8,76.45,19131.21746,21.3,29.2,18264,33.3,21.25,23.6,94.25,3.2,1,0.35,0.15,1,38.5,5.7,5,0.09,41.5,0.269,0.34,0.339,0.125,230.1,NA,0.213,0.077,52.44,NA,77.6,NA,"Q1","2122","Republican"
"1798","North Carolina","NC","Lee County, North Carolina",55.2155941,42.06516453,NA,2.719241368,19.3,80.7,18,5.2,74.6,25210.32857,22.85,10.2,57892,45.7,14.9,21.9,60.95,19.4,17,0.85,0.4,1.35,37.6,3.4,4,0.1,69.7,0.385,0.2,0.292,0.11,478.3,304.5,0.22,0.118,216.38,11.89,77.4,7.3,"Q3","1798","Republican"
"172","Pennsylvania","PA","Clarion County, Pennsylvania",71.76362908,24.34643327,0.652136605,2.665751387,12.8,87.2,17.2,6.3,75.05,22044.34699,22.8,9,39922,29.8,15,19.8,97,1.1,0.55,0.45,0.05,0.8,39.2,3,2.7,0.08,19,0.307,0.177,0.317,0.113,154.9,48.8,0.135,0.09,158.47,NA,65.5,NA,"Q2","172","Republican"
"445","Kentucky","KY","Bullitt County, Kentucky",72.69651079,22.89621124,0.70172519,2.673767127,16.8,83.2,11.1,3.9,77.6,30246.45619,16.4,8.6,73923,49,9.5,11.65,96.2,0.7,1.25,0.45,0.3,1.1,37.4,6.2,4.9,0.09,32.4,0.322,0.277,0.342,0.124,222.3,85.9,0.142,0.085,120.13,2.61,54.6,6.3,"Q4","445","Republican"
"687","Kansas","KS","Wichita County, Kansas",81.90578158,14.88222698,1.284796574,1.927194861,19.3,80.7,15.9,1.8,78.45,23471.27619,16.45,3,2205,5.3,11,20,72.4,0.35,25.85,0.05,0.1,1.2,40,5.4,NA,NA,62.9,0.341,0.144,0.337,0.11,NA,NA,0.221,0.054,288.1,NA,NA,NA,"Q2","687","Republican"
"1815","Texas","TX","Camp County, Texas",70.47556143,27.74108322,0.330250991,1.453104359,25.3,74.7,14.9,5.1,74.8,21713.43365,41,10.25,12445,19.4,21.55,34.1,59.65,16.95,21.25,0.5,0.25,1.4,38.1,NA,NA,0.07,79.8,0.372,NA,0.317,0.127,370.8,122.4,0.29,0.077,248.23,NA,94.4,NA,"Q1","1815","Republican"
"1355","South Dakota","SD","Lyman County, South Dakota",68.75439831,25.96762843,NA,3.9408867,14.5,85.5,19.8,5.6,66.8,18586.54667,38.6,4.7,3805,36.4,18.75,26.1,59.05,0.1,0.55,0.15,38.6,1.55,34.9,2.7,2,0.05,75.3,0.537,0.206,0.355,0.109,683.1,NA,0.218,0.058,NA,NA,107.1,NA,"Q1","1355","Republican"
"75","Montana","MT","Daniels County, Montana",76.57563025,17.54201681,0.630252101,5.25210084,5.4,94.6,19.7,5.5,84.55,21280.87778,17.15,7.55,1617,0,14.9,25.45,94.25,0.1,0.9,0.1,3.9,0.8,49.2,1.1,NA,NA,NA,0.241,0.142,0.244,0.091,NA,NA,0.21,0.04,195.16,NA,NA,NA,"Q1","75","Republican"
"1340","New York","NY","Niagara County, New York",57.23604651,38.24186047,1.422093023,3.1,11.6,88.4,19.6,8.4,77.7,27867.64698,23.4,7.9,215541,42.1,12.55,18.05,87.9,6.55,1.95,0.85,0.9,1.85,41.2,4.2,4.2,0.08,26.9,0.348,0.23,0.295,0.104,416.6,95,0.108,0.09,383.79,3.3,51.6,7.2,"Q3","1340","Republican"
"488","Oklahoma","OK","Washington County, Oklahoma",71.19056196,22.72604467,NA,6.083393372,11.9,88.1,26.1,7,74.55,25619.60413,27.1,5.65,50384,50.3,13.65,22.2,76.5,2.35,4.85,1.1,8.35,6.8,41.2,3.6,3.3,0.08,49.3,0.345,0.226,0.308,0.118,128.2,41.5,0.19,0.041,288.74,NA,79.1,8.6,"Q3","488","Republican"
"2304","North Carolina","NC","Cherokee County, North Carolina",77.27994228,20.26695527,NA,2.453102453,18.5,81.5,15.9,6.4,77.45,23268.26603,23.9,14.55,26823,38.4,13.9,15.3,92.8,0.85,2,0.4,1.65,2.3,47.4,4.4,3.1,0.1,45.7,0.257,0.251,0.275,0.136,125,60.1,0.216,0.128,206.74,5.31,94.4,12,"Q2","2304","Republican"
"1182","North Carolina","NC","Robeson County, North Carolina",51.43711664,46.57829371,NA,1.984589649,31.3,68.7,12.1,4.1,73.05,21055.45048,50.4,22.05,130927,39.7,30.15,44.3,28,23.95,8.1,0.65,37,2.3,34.1,4.8,3.7,0.11,74.6,0.563,0.256,0.407,0.155,853.8,354.1,0.264,0.13,866.55,23.24,100.7,12.8,"Q1","1182","Republican"
"2169","West Virginia","WV","Preston County, West Virginia",75.33898977,19.52263897,1.030846087,3.385932916,17.5,82.5,11.6,3.6,68.15,24650.81238,17.05,10.6,31849,23.8,14.45,18.85,96.05,1.95,0.85,0.1,0.15,0.9,41.3,4.1,3.9,0.09,43.4,0.253,0.268,0.355,0.107,121.6,37.8,0.202,0.064,267.31,4.84,81.3,NA,"Q2","2169","Republican"
"1809","Alabama","AL","Colbert County, Alabama",67.88759847,29.62722326,0.430439373,2.054738894,19.9,80.1,16.4,5.9,74.75,25896.27111,28.7,9.2,54487,30.9,14.85,21.65,80,16,1.8,0.4,0.5,1.35,41.6,4.4,4.8,0.1,53.2,0.331,0.296,0.322,0.137,598,111.1,0.15,0.076,364.67,6.04,77.1,8.5,"Q3","1809","Republican"
"1842","Georgia","GA","Gordon County, Georgia",80.48275862,16.84880637,NA,2.668435013,26.7,73.3,12.7,4.4,71.55,25826.81937,23.85,18.3,53473,29.1,16.5,21.75,80.45,3.55,13.75,0.9,0.25,1.05,35.3,4.3,4.4,0.07,66.3,0.263,0.236,0.285,0.103,149.2,66.2,0.254,0.1,331.31,4.59,67.3,8.4,"Q3","1842","Republican"
"2275","Oklahoma","OK","Canadian County, Oklahoma",72.34208145,21.11493213,NA,6.542986425,9.2,90.8,25.3,7.1,77.7,31492.42635,11.75,6.75,109564,40,7.85,11.05,81.15,2.45,6.15,2.7,3.85,3.7,35.7,3.9,3.8,0.08,34.4,0.248,0.209,0.311,0.106,195,121.9,0.157,0.042,489.36,3.63,60.7,6.7,"Q4","2275","Republican"
"300","Nebraska","NE","Grant County, Nebraska",93.14720812,5.076142132,0.253807107,1.52284264,4.9,95.1,17.3,3.8,68.2,19819.76191,33.65,4.3,611,37.5,18,29.45,98.35,0,0.7,0.1,0.1,0.75,46.6,NA,2.1,NA,NA,0.303,NA,0.284,0.087,NA,NA,0.165,0.037,NA,NA,NA,NA,"Q1","300","Republican"
"2401","Oklahoma","OK","Kay County, Oklahoma",72.45013397,22.23280738,NA,5.317058648,14.4,85.6,19.9,6.2,75.4,22271.72191,39.25,9.4,46260,39.6,18.15,28.15,78.55,1.9,6.25,0.65,8.75,3.95,39.5,4.6,5,0.08,71.3,0.352,0.204,0.356,0.14,331.5,84.1,0.235,0.063,413.56,4.6,98.5,8.2,"Q2","2401","Republican"
