"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","orig.id"
"381","Mississippi","MS","Coahoma County, Mississippi",27.22172352,71.56642729,0.145870736,0.59470377,25.8,74.2,14.3,3.8,77.5,19012.89524,60.95,22.85,26861,71.5,35.75,54.55,23.15,74.55,1.3,0.25,0.15,0.55,32.2,4.9,4.3,0.18,91.6,0.729,0.233,0.474,0.157,1671,747.9,0.192,0.128,725.81,27.92,101.2,19.6,"381"
"297","New York","NY","New York County, New York",9.965875732,87.16755049,1.439881766,1.426692009,15.4,84.6,57,27.2,75.1,46965.57207,20.75,19.2,1603417,68.6,17.55,26.25,48.9,13.15,24.95,10.65,0.1,2.2,36.3,3.6,3.5,0.09,24.5,0.441,0.129,0.157,0.073,784.2,2391.2,0.123,0.077,591.66,4.34,32.3,4.5,"297"
"371","North Carolina","NC","Pitt County, North Carolina",44.9644792,52.34462844,NA,2.690892364,14.9,85.1,28.2,10.4,81.15,21972.9981,34.5,13.5,160039,55.1,23.9,26.05,58.3,33.4,4.95,1.35,0.25,1.8,30.9,3.6,3.2,0.11,29,0.446,0.192,0.357,0.089,1143,340,0.169,0.093,NA,8.1,56.4,10.3,"371"
"73","Indiana","IN","Marion County, Indiana",36.06724458,58.90159803,NA,5.031157393,16,84,27.3,9.5,73.05,27984.64286,29.05,9.1,891137,41.2,16.95,24.95,61.9,25.6,8.15,1.8,0.15,2.4,34,3.6,3.8,0.09,57.4,0.461,0.242,0.319,0.106,1000.6,474,0.186,0.087,1128.33,13.05,67.2,9.1,"73"
"209","North Carolina","NC","Chatham County, North Carolina",43.53121801,53.61566018,NA,2.853121801,16.2,83.8,35.1,15,76.55,27625.52095,18.55,7.75,62474,38.8,12.1,17.7,71.15,13.15,12.6,1.5,0.35,1.25,42.7,4.5,3.6,0.08,42.4,0.258,0.204,0.257,0.098,238.3,182.5,0.192,0.074,178.01,7.14,66.2,7.3,"209"
"81","Vermont","VT","Washington County, Vermont",27.89488379,64.89146367,3.179311789,3.486424234,7.6,92.4,37.4,15.6,78.7,30114.46254,20.55,7.3,59161,44.4,10.25,13,95.2,0.65,1.65,0.75,0.2,1.6,41.4,3,3.1,0.06,18.8,0.343,0.156,0.218,0.073,192.9,61.4,0.073,0.048,107.88,NA,62.3,5.5,"81"
"88","Colorado","CO","Arapahoe County, Colorado",38.92593145,52.67558528,1.206072613,5.138146262,9.6,90.4,37.9,13.1,75.05,33655.73333,20.55,9.55,558080,43.9,11.4,16.05,64.95,9.4,17.6,4.7,0.45,2.85,35.5,2.8,3.2,0.1,34.7,0.299,0.154,0.207,0.06,555.8,222.3,0.177,0.078,342.01,4.13,58,6.1,"88"
"234","Virginia","VA","Suffolk city, Virginia",41.03603711,54.88325503,0.510386606,2.56385795,15.3,84.7,25.1,8.7,76.2,35185.89397,18.1,8.35,82823,47.9,10.95,16.3,52.3,41.4,2.7,1.5,0.25,1.9,37.5,2.8,2.8,0.1,36.8,0.364,0.192,0.324,0.119,859.5,319.8,0.128,0.068,323,7.42,50.9,10,"234"
"938","North Carolina","NC","Gaston County, North Carolina",64.78940046,32.65663209,NA,2.553967451,21.1,78.9,18.1,5.5,74.95,27131.98953,28,11.25,204117,49,15.8,22.45,76.8,14.5,5.65,1.15,0.35,1.45,38.3,4.5,4.5,0.1,55.4,0.37,0.258,0.273,0.123,705.2,285.7,0.192,0.106,443.08,5.15,77.8,9.5,"938"
"402","Nebraska","NE","Wayne County, Nebraska",71.52406417,22.13903743,0.935828877,5.401069519,8.4,91.6,28,8.5,88.25,16631.49048,31.65,10.4,9464,73.7,15.5,18.65,93.1,0.95,3.65,0.9,0.25,1.1,28.3,2.2,2.1,0.06,7.5,0.267,0.128,0.291,0.072,231.5,NA,0.133,0.032,74.33,NA,58.5,NA,"402"
"2366","North Dakota","ND","Kidder County, North Dakota",81.44329897,13.18114875,0.515463918,4.639175258,21.5,78.5,16,3.8,78.55,23010.11873,16.65,24.9,2366,12.8,19.35,32.35,97.2,0.1,1.8,0.45,0.25,0.15,47.5,1.7,2.3,NA,25.1,0.219,0.15,0.33,0.098,NA,NA,0.164,0.062,83.61,NA,NA,NA,"2366"
"1197","Indiana","IN","Union County, Indiana",74.40657334,21.75897748,NA,3.834449178,15.2,84.8,15.2,4.1,78.8,27504.64445,31,9.25,7299,47,12.25,21,97.3,0.25,1.1,0.35,0.15,0.9,38.7,3,2.9,0.05,43.2,0.197,0.298,0.332,0.115,79.9,NA,0.169,0.086,NA,NA,67,NA,"1197"
"1975","Illinois","IL","Mason County, Illinois",62.97217472,31.21405254,0.839421732,4.974351003,16.7,83.3,16.5,6.2,78,27307.98794,30.55,9.9,14870,58.1,15.1,22.8,97.4,0.25,0.9,0.65,0.2,0.65,42.5,NA,NA,0.11,47.5,0.343,0.168,0.316,0.102,365.9,NA,0.129,0.101,480.26,NA,92.4,NA,"1975"
"1286","Texas","TX","Erath County, Texas",81.13685735,15.63359884,0.492396814,2.737146995,20.5,79.5,24,7.7,76.35,21170.73207,28.75,15.15,36672,43.5,20.7,20,78.25,1.05,18.35,0.6,0.45,1.25,31.7,3.9,4.2,0.07,30.6,0.294,NA,0.281,0.091,342.3,34,0.323,0.055,184.38,4.3,66.3,NA,"1286"
"238","Oklahoma","OK","Stephens County, Oklahoma",79.2016102,17.24253606,NA,3.55585374,14.9,85.1,16.5,5.1,73.4,26006.19778,19.45,8.75,44052,41.1,12.85,18.3,83.25,2.1,5.85,0.45,4.5,3.9,41,3.6,3.9,0.08,55.4,0.279,0.209,0.294,0.114,314.2,42.1,0.191,0.044,256.72,3.89,96.3,7.6,"238"
"673","Texas","TX","Wheeler County, Texas",90.50303556,8.41283608,0.173460538,0.910667823,20.6,79.4,15.1,3.8,74.2,22253.25524,31.7,11.3,5086,54.7,15,22.7,71.95,3.1,22.4,0.6,0.35,1.6,40.3,NA,NA,0.07,65.7,0.277,NA,0.296,0.112,201.3,NA,0.295,0.036,236.23,NA,110.8,NA,"673"
"952","Michigan","MI","Berrien County, Michigan",53.76311177,41.0339167,0.920953785,3.839626054,13.4,86.6,23.3,9,77.3,25252.78318,32.1,9.2,158471,48.1,16.55,25.85,77,14.9,4.2,1.5,0.4,2,40.3,3.9,3.3,0.08,46.5,0.378,0.2,0.365,0.112,681.1,176.7,0.159,0.09,379.13,3.62,60.3,9,"952"
"2137","Virginia","VA","Lee County, Virginia",80.6372287,17.39548808,0.35282797,1.133326206,28.5,71.5,12,3.8,71.3,21698.15143,44.8,18.85,25294,29.2,21.95,28.65,94.7,3.25,1.15,0.2,0.2,0.55,40.7,6,5,0.08,54.9,0.295,0.254,0.33,0.111,115.3,73.4,0.163,0.083,117.33,7.32,91.2,NA,"2137"
